distance,price,route,begin_id,end_id,time
23.988,6,2a18c81d113,3,114,47
26.75,7,2a18c81d114,3,115,49
29.5,7,2a18c81d115,3,116,51
30.867,7,2a18c81d116,3,117,53
32.878,8,2a18c81d117,3,118,56
34.698,8,2a18c81d118,3,119,58
36.151,8,2a18c81d119,3,120,60
38.299,8,2a18c81d120,3,121,62
39.54,8,2a18c81d121,3,122,65
41.621,9,2a18c81d122,3,123,67
43.038,9,2a18c81d123,3,124,70
29.821,7,2a18c88e124,3,125,58
27.788,7,2a11e125,3,126,51
24.983,7,2a11e126,3,127,49
23.157,6,2a11e127,3,128,47
22.401,6,2a11e128,3,129,45
20.876,6,2a11e129,3,130,43
19.923,6,2a11e130,3,131,40
18.445,6,2a11e131,3,132,38
16.23,5,2a11e132,3,133,34
14.373,5,2a11e133,3,134,32
13.611,5,2a11e134,3,135,30
12.634,5,2a11e135,3,136,27
11.034,4,2a11e136,3,137,25
12.09,5,2a10f76e137,3,138,25
13.043,5,2a10f76e138,3,139,27
14.52,5,2a10f76e139,3,140,30
15.364,5,2a10f76e140,3,141,32
18.435,6,2a10f76e141,3,142,36
19.637,6,2a10f76e142,3,143,38
21.385,6,2a10f76e143,3,144,40
23.776,6,2a10f76e144,3,145,43
43.462,9,2a9g160f145,3,146,58
40.219,9,2a9g160f146,3,147,56
38.858,8,2a9g160f147,3,148,53
37.248,8,2a9g160f148,3,149,51
35.248,8,2a9g160f149,3,150,49
32.741,8,2a9g160f150,3,151,47
29.303,7,2a9g160f151,3,152,45
26.912,7,2a9g160f152,3,153,43
25.195,7,2a9g160f153,3,154,40
24.128,7,2a9g160f154,3,155,38
21.834,6,2a9g160f155,3,156,36
20.451,6,2a9g160f156,3,157,34
17.217,5,2a9g160f157,3,158,30
15.217,5,2a9g160f158,3,159,25
13.15,5,2a9g160f159,3,160,22
11.559,4,2a9g160,3,161,20
12.524,5,2a10f161,3,162,25
16.756,5,2a10f162,3,163,32
18.641,6,2a10f163,3,164,34
15.489,5,2a9g164,3,165,30
13.298,5,2a9g165,3,166,25
12.551,5,2a9g166,3,167,22
10.878,4,2a9g167,3,168,22
12.452,5,2a9g168,3,169,25
14.1,5,2a9g169,3,170,27
16.845,5,2a9g170,3,171,32
51.62,10,2a9g160f51b37h171,3,172,85
50.176,10,2a9g160f51b37h172,3,173,82
48.147,9,2a9g160f51b37h173,3,174,79
45.994,9,2a9g160f51b37h174,3,175,77
43.192,9,2a9g160f51b37h175,3,176,74
42.125,9,2a9g160f51b37h176,3,177,72
40.992,9,2a9g160f51b37h177,3,178,72
40.066,9,2a9g160f51b37h178,3,179,70
38.779,8,2a9g160f51b37h179,3,180,67
37.704,8,2a9g160f51b37h180,3,181,65
36.284,8,2a9g160f51b37h181,3,182,62
34.344,8,2a9g160f51b37h182,3,183,60
48.134,9,2a9g74c70i183,3,184,62
46.175,9,2a9g74c70i184,3,185,60
42.943,9,2a9g74c70i185,3,186,58
41.483,9,2a9g74c70i186,3,187,56
38.696,8,2a9g74c70i187,3,188,53
37.678,8,2a9g74c70i188,3,189,51
33.893,8,2a9g74c70i189,3,190,49
29.265,7,2a9g74c70i190,3,191,47
27.035,7,2a9g74c70i191,3,192,45
24.741,7,2a9g74c70i192,3,193,43
21.577,6,2a9g74c70i193,3,194,40
20.696,6,2a9g74c70i194,3,195,38
18.345,6,2a9g74c70i195,3,196,36
16.303,5,2a9g74c70i196,3,197,34
14.544,5,2a9g74c70i197,3,198,32
5.555,3,3a0,4,1,8
2.145,2,3a1,4,2,6
1.025,2,3a2,4,3,4
0,0,3,4,4,0
1.165,2,3a4,4,5,4
2.602,2,3a5,4,6,6
4.127,3,3a6,4,7,8
4.922,3,3a7,4,8,11
5.837,3,3a8,4,9,13
7.04,3,3a9,4,10,16
8.195,4,3a10,4,11,18
9.205,4,3a11,4,12,20
10.288,4,3a12,4,13,22
11.274,4,3a13,4,14,25
12.162,5,3a14,4,15,27
13.042,5,3a15,4,16,30
14.184,5,3a16,4,17,32
15.229,5,3a17,4,18,34
16.809,5,3a18,4,19,36
17.73,5,3a19,4,20,38
18.55,6,3a20,4,21,40
19.345,6,3a21,4,22,43
20.252,6,3a22,4,23,45
21.77,6,3a23,4,24,47
23.205,6,3a24,4,25,49
24.012,7,3a25,4,26,51
24.956,7,3a26,4,27,53
26.611,7,3a27,4,28,56
28.263,7,3a28,4,29,58
29.3,7,3a29,4,30,60
31.271,7,3a30,4,31,62
32.381,8,3a31,4,32,65
39.571,8,3a9g160f51b32,4,33,67
38.55,8,3a9g160f51b33,4,34,65
36.551,8,3a9g160f51b34,4,35,62
34.948,8,3a9g160f51b35,4,36,60
32.91,8,3a9g160f51b36,4,37,58
31.851,7,3a9g160f51b37,4,38,56
30.364,7,3a9g160f51b38,4,39,53
28.996,7,3a9g160f51b39,4,40,51
28.179,7,3a9g160f51b40,4,41,49
27.17,7,3a9g160f51b41,4,42,47
26.376,7,3a9g160f51b42,4,43,45
25.059,7,3a9g160f51b43,4,44,43
23.617,6,3a9g160f51b44,4,45,40
22.004,6,3a9g160f51b45,4,46,38
21.053,6,3a9g160f51b46,4,47,36
19.815,6,3a9g160f51b47,4,48,34
18.397,6,3a9g160f51b48,4,49,32
17.431,5,3a9g160f51b49,4,50,30
16.263,5,3a9g160f51b50,4,51,27
15.333,5,3a9g160f51,4,52,25
14.05,5,3a11e53b52,4,53,25
10.758,4,3a11e53,4,54,22
11.831,4,3a12b54,4,55,25
12.777,5,3a12b55,4,56,27
12.663,5,3a10f56,4,57,25
12.649,5,3a10f76c57,4,58,25
13.865,5,3a10f76c57b58,4,59,27
15.272,5,3a10f76c57b59,4,60,30
16.449,5,3a10f76e60,4,61,32
17.541,5,3a10f76e60b61,4,62,34
17.851,5,3a9g63b62,4,63,30
14.965,5,3a9g63,4,64,27
18.911,6,3a9g63b64,4,65,30
20.554,6,3a9g63b65,4,66,32
22.593,6,3a9g63b66,4,67,34
24.02,7,3a9g63b67,4,68,36
30.024,7,3a9g63b68,4,69,38
14.201,5,3a9g74c69,4,70,30
12.534,5,3a9g74c70,4,71,27
11.353,4,3a9g74c71,4,72,25
10.1,4,3a9g74c72,4,73,22
9.341,4,3a9g74c73,4,74,20
8.459,4,3a9g74,4,75,18
9.355,4,3a9g74c75,4,76,20
10.041,4,3a10f76,4,77,20
10.973,4,3a10f76c77,4,78,22
13.534,5,3a10f76c78,4,79,27
14.145,5,3a10f79,4,80,27
15.97,5,3a10f79c80,4,81,30
19.34,6,3a18c81,4,82,38
20.447,6,3a18c82,4,83,40
21.353,6,3a18c83,4,84,43
22.712,6,3a18c84,4,85,45
23.64,6,3a18c85,4,86,47
25.203,7,3a18c86,4,87,49
26.657,7,3a18c87,4,88,51
27.499,7,3a18c88,4,89,53
28.948,7,3a18c89,4,90,56
21.78,6,3a9g97d90,4,91,40
20.97,6,3a9g97d91,4,92,38
19.797,6,3a9g97d92,4,93,36
18.163,6,3a9g97d93,4,94,34
16.83,5,3a9g97d94,4,95,32
15.794,5,3a9g97d95,4,96,30
14.623,5,3a9g97d96,4,97,27
13.591,5,3a9g97,4,98,25
14.519,5,3a9g97d98,4,99,27
15.567,5,3a9g97d99,4,100,30
16.793,5,3a9g97d100,4,101,32
18.466,6,3a9g160f102d101,4,102,32
17.566,5,3a9g160f102,4,103,30
18.463,6,3a9g160f102d103,4,104,32
19.181,6,3a9g160f102d104,4,105,34
16.972,5,3a11e106d105,4,106,36
16.138,5,3a11e106,4,107,34
17.712,5,3a11e106d107,4,108,36
18.724,6,3a11e106d108,4,109,38
19.848,6,3a11e106d109,4,110,40
20.29,6,3a18c81d110,4,111,40
